priority,topic,modality,tag,idx,trigger,stem
1,Cardiovascular Disease,ECG,2024-May,547,תרשים אק,"בת71, פנתה למיון לאחר15 שעות מתחילת כאבים בחזה. בתרשים אק\""ג הודגמו עליות ST בקיר קידמי. בקבלתה ללא כאבים בחזה. הוחלט על טיפול שמרני. שבוע לאחר מכן במהלך אשפוז הופיעה חולשה בפלג גו"
1,Cardiovascular Disease,CT/MRI,Hazzard,932,CT head shows,"An 85-year-old with atrial fibrillation and acute ischemic stroke arrives at 3.5 hours from symptom onset. NIHSS 14, CT head shows no hemorrhage. Which statement is MOST accurate?"
1,Cardiovascular Disease,ECG,Hazzard,970,EKG shows,An 82-year-old with no chest pain presents with dyspnea and acute mental status change. EKG shows ST-segment depressions. What is the likely diagnosis and should age be a barrier t
1,Cardiovascular Disease,CT/MRI,Hazzard,2547,MRI brain shows,A 77-year-old woman with HTN and osteoarthritis is brought by family for confusion and falls. They report she's been taking diphenhydramine 50mg nightly for sleep for 'years.' MMSE
1,Cardiovascular Disease,ECG,Hazzard,2564,ECG shows,A 78-year-old woman presents 2 hours after onset of substernal chest pressure. ECG shows ST depressions in V4-V6. Initial troponin 0.8 ng/mL (normal <0.04). She takes aspirin 81 mg
1,Cardiovascular Disease,ECG,Hazzard,2590,ECG shows,"A 79-year-old woman residing in assisted living is found unresponsive by staff. She has heart failure (EF 25%), permanent AF on warfarin, and mild cognitive impairment. Staff repor"
1,Cardiovascular Disease,ECG,Hazzard,2591,ECG shows,"An 88-year-old man with severe aortic stenosis (valve area 0.7 cm²), CKD stage 3a, and residing in memory care for Alzheimer's disease is brought to clinic by his daughter. She rep"
1,Cardiovascular Disease,ECG+US,Hazzard,2595,ECG shows,"An 85-year-old man with CKD stage 3b (eGFR 36), permanent AF, and moderat frailty is seen in cardiology clinic. He's on metoprolol 50 mg BID and apixaban 5 mg BID. Resting HR is 95"
1,Cardiovascular Disease,ECG,Hazzard,2597,ECG shows,"A 78-year-old man presents to the ED with 2 hours of palpitations and lightheadedness. He has diabetes, CKD stage 3a, and BPH. Medications include metformin, tamsulosin, and amlodi"
1,Cardiovascular Disease,ECG,Hazzard,2598,ECG shows,"An 82-year-old woman with heart failure (EF 35%), permanent AF, and T2DM is admitted with volume overload. She lives independently but her daughter notes recent problems managing m"
1,Cardiovascular Disease,ECG,Hazzard,2602,ECG shows,"An 83-year-old woman with moderate Alzheimer's dementia, CHF (EF 40%), and CKD stage 3b is brought by her son from assisted living with acute confusion and lethargy. She has fallen"
1,Cardiovascular Disease,ECG,Harrison,2904,ECG shows,"An 84-year-old man with HTN, DM2, and CKD stage 3a (eGFR 42) presents to the ED with 2 hours of substernal chest pressure radiating to his left arm. He takes metoprolol 50mg BID, l"
1,Cardiovascular Disease,ECG+US,Harrison,2907,ECG shows,A 79-year-old woman presents to clinic with 3 months of exertional chest tightness. She stopped attending her weekly bridge club due to fatigue walking to the community center. PMH
1,Cardiovascular Disease,CXR,Harrison,2908,CXR shows,An 86-year-old man with advanced Parkinson's disease (H&Y stage 4) is brought to ED by nursing home staff for altered mental status and fever. He has difficulty swallowing and rece
1,Cardiovascular Disease,ECG,Harrison,2910,ECG shows,An 83-year-old man is evaluated in the nursing home for new-onset chest discomfort with walking to the dining room. He has advanced dementia and depends on staff for all ADLs. Staf
1,Cardiovascular Disease,CT/MRI,Harrison,2911,Chest CT shows,"A 76-year-old woman is admitted with NSTEMI. She undergoes PCI with placement of two drug-eluting stents. Post-procedure, she develops severe back pain between her shoulder blades."
1,Cardiovascular Disease,ECG+Other imaging,Harrison,2913,ECG shows,"An 82-year-old man with severe COPD on home oxygen presents with acute chest tightness and dyspnea. He's DNR but wants 'everything else done.' ABG on 2L NC: pH 7.32, pCO2 58, pO2 5"
1,Cardiovascular Disease,CT/MRI,Harrison,2915,CT head shows,"An 85-year-old man with CHF, AFib, and mild dementia (MMSE 22) is brought to ED by assisted living staff for worsening confusion over 2 days. He takes warfarin with INR target 2-3,"
1,Cardiovascular Disease,ECG,Harrison,3036,ECG shows,"An 84-year-old man with hypertension, diabetes, and mild cognitive impairment presents to the ED with 2 hours of substernal chest pressure at rest. He takes metformin, lisinopril, "
1,Cardiovascular Disease,ECG,Harrison,3038,ECG shows,"An 81-year-old nursing home resident with moderate vascular dementia is found unresponsive. Staff report 3 days of decreased oral intake and lethargy. Temperature 35.8°C, BP 88/54,"
1,Cardiovascular Disease,ECG,Harrison,3040,ECG shows,An 85-year-old woman with mild dementia (MMSE 22) presents with acute chest pain and dyspnea. She lives with her daughter who reports new confusion today - forgetting grandchildren
1,Cardiovascular Disease,ECG,Harrison,3041,ECG shows,"A 78-year-old man with HTN, DM, and recent hip fracture (3 weeks post-ORIF) presents with rest angina. He's on enoxaparin 40mg daily for DVT prophylaxis, metoprolol 25mg BID, and o"
1,Cardiovascular Disease,ECG,Harrison,3042,ECG shows,"An 83-year-old woman with diabetes, mild dementia, and recurrent UTIs presents with 3 hours of substernal pressure. She takes metformin, donepezil, and prophylactic nitrofurantoin."
1,Cardiovascular Disease,ECG,Harrison,3051,ECG shows,"An 84-year-old man with CKD stage 4 (CrCl 22 mL/min by Cockroft-Gault), diabetes, and prior stroke presents to the ED 90 minutes after sudden severe chest pain. ECG shows 3mm ST el"
1,Cardiovascular Disease,ECG,Harrison,3053,ECG shows,"An 81-year-old man with heart failure (EF 35%), CKD stage 3a, and diabetes presents 4 hours after chest pain onset. ECG shows anterior STEMI. He arrives at a non-PCI hospital; tran"
1,Cardiovascular Disease,ECG,Harrison,3055,ECG shows,An 85-year-old man with moderate dementia (MMSE 18) and hypertension is brought by family 3 hours after witnessing him clutch his chest and become diaphoretic. He cannot describe s
1,Cardiovascular Disease,CT/MRI+US,Harrison,3057,CT head shows,"An 82-year-old man is day 3 post-anterior STEMI treated with PCI. He develops new confusion, word-finding difficulty, and right facial droop. CT head shows no hemorrhage. BP 168/92"
1,Cancer & Oncology,Smear/Histopath,Hazzard,1593,biopsy shows,"An 82-year-old man with a 15-year history of diabetes and coronary artery disease (ejection fraction 35%) presents with newly diagnosed prostate cancer. His PSA is 45 ng/mL, DRE re"
1,Cancer & Oncology,Smear/Histopath,Hazzard,1600,Biopsy reveals,"An 85-year-old man with multiple comorbidities (heart failure, diabetes, chronic kidney disease) presents with elevated PSA (12 ng/mL) and abnormal DRE. Biopsy reveals Gleason 7 ad"
1,Cancer & Oncology,Smear/Histopath,Hazzard,1603,biopsy shows,"An 81-year-old man presents with a 2cm breast mass that on biopsy shows invasive ductal carcinoma that is estrogen receptor positive, progesterone receptor positive, and HER2 negat"
1,Cancer & Oncology,Smear/Histopath,Hazzard,1608,Biopsy shows,"A 71-year-old woman presents with a 1.5cm breast mass. Biopsy shows invasive lobular carcinoma that is ER+/PR+/HER2-. She has a history of recurrent falls (3 in past year), mild co"
1,Cancer & Oncology,CT/MRI,Hazzard,1619,CT scan shows,"A 77-year-old man with stage III colon cancer completed adjuvant chemotherapy 6 months ago. He now presents with new onset confusion, weight loss, and abdominal pain. CT scan shows"
1,Cancer & Oncology,ECG,Hazzard,2733,EKG shows,A 78-year-old woman with metastatic ovarian cancer is admitted with nausea and confusion three days after carboplatin/paclitaxel. She takes metoclopramide 10 mg QID for nausea. Lab
1,Cancer & Oncology,CXR,Hazzard,2739,Chest X-ray shows,"An 84-year-old woman with metastatic breast cancer (ER+/PR+/HER2-) presents to clinic with progressive dyspnea and fatigue over 2 weeks. She has CHF (EF 35%), CKD stage 3a (eGFR 45"
1,Cancer & Oncology,CT/MRI,Hazzard,2743,MRI brain shows,A 76-year-old woman with stage IIIA breast cancer completed chemotherapy 2 months ago and now reports difficulty concentrating and forgetfulness affecting her ability to manage fin
1,Cancer & Oncology,Smear/Histopath,Hazzard,2758,biopsy shows,A 77-year-old man on active surveillance for low-risk prostate cancer (Gleason 3+3) presents with new nocturia 4x/night and PSA rise from 4.2 to 8.1 over 6 months. He recently star
1,Cancer & Oncology,CT/MRI,Hazzard,2759,MRI brain shows,An 81-year-old man with metastatic castration-resistant prostate cancer on enzalutamide develops confusion and word-finding difficulty over 2 weeks. Wife reports he forgot grandchi
1,Cancer & Oncology,CT/MRI,Hazzard,2776,MRI shows stable treated brain metastases without new lesion,A 76-year-old woman with EGFR-mutant stage IV NSCLC on osimertinib for 18 months presents with confusion and falls. Head MRI shows stable treated brain metastases without new lesio
1,Cancer & Oncology,Other imaging+Smear/Histopath,Hazzard,2804,Biopsy reveals,A 77-year-old woman on chronic prednisone 15mg daily for polymyalgia rheumatica presents with an enlarging 3cm pink nodule on her right forearm that appeared 6 weeks ago. Biopsy re
1,Cancer & Oncology,Smear/Histopath,Hazzard,2808,Biopsy reveals,A 78-year-old woman with diabetes and peripheral neuropathy presents with a non-healing ulcer on her heel for 8 months. Biopsy reveals well-differentiated SCC arising in chronic wo
1,Cancer & Oncology,Smear/Histopath,Hazzard,2810,Biopsy shows,A 79-year-old woman with rheumatoid arthritis on methotrexate 15mg weekly presents with multiple hyperkeratotic lesions on sun-exposed areas. Biopsy shows 'keratoacanthoma-like' SC
1,Cancer & Oncology,ECG+US,Harrison,2994,ECG shows,An 81-year-old man with multiple myeloma on lenalidomide presents to clinic with progressive dyspnea over 2 weeks. He stopped playing weekly bridge due to fatigue (functional decli
1,Cancer & Oncology,CT/MRI+US,Harrison,2996,Chest CT shows,An 85-year-old man with Stage IIIB non-small cell lung cancer completed radiation therapy 2 months ago. His daughter brings him to the ED with chest pain and dyspnea. He recently s
1,Cancer & Oncology,CXR,Harrison,2997,Chest X-ray shows,A 78-year-old woman with CLL on ibrutinib for 6 months presents with fever and cough. She lives in assisted living due to recurrent falls. CrCl 35 mL/min. Chest X-ray shows RLL inf
1,Cancer & Oncology,ECG+US,Harrison,3001,ECG shows,A 77-year-old woman with metastatic NSCLC on pembrolizumab presents with chest pain and dyspnea. She recently stopped driving due to weakness. Echo shows small pericardial effusion
1,Cancer & Oncology,CT/MRI,Harrison,3002,CT chest shows,An 82-year-old man with bladder cancer s/p cystectomy and ileal conduit 6 months ago presents with confusion and falls. His daughter notes he's been having trouble with his ostomy 
1,Cancer & Oncology,CT/MRI,Harrison,3003,CT shows peripheral nodular lesion,"A 79-year-old woman with AML, day 12 of induction chemotherapy, develops fever to 38.9°C. She has been on posaconazole prophylaxis. Neutrophil count is 50. She lives with her daugh"
1,Infections,CT/MRI,2022,98,דימות CT,"בת82, מתגוררת בביתה. ברקע: מחלת לב איסכמית, יתר לחץ דם, תת פעילות של בלוטת התריס, אוסטיאופורוזיס ומצב לאחר שחזור וקיבוע מפרק הירך מימין לפני כשנתיים על רקע שבר אינטרטרוכנטרי. אושפז"
1,Infections,CXR,Hazzard,2874,CXR shows,"An 84-year-old man with diabetes, HTN, and mild cognitive impairment (MMSE 22) presents to the ED with 3 days of productive cough, fever, and confusion. His daughter reports he's b"
1,Infections,CXR,Hazzard,2877,CXR shows,A 76-year-old woman with COPD is admitted with influenza A confirmed by PCR 4 days ago. She's been on oseltamivir 75mg BID but remains febrile with worsening dyspnea. Past medical 
1,Infections,CXR,Hazzard,2879,CXR shows,A 77-year-old nursing home resident with moderate vascular dementia is evaluated for cough and fever. Staff report she's been refusing meals and more somnolent for 3 days. Her MOLS
1,Infections,CXR,Hazzard,2885,CXR shows,"An 80-year-old man is evaluated in the nursing home for new productive cough and confusion. He has severe COPD on home oxygen, CHF, and moderate dementia. Medications include furos"
1,Infections,CT/MRI+US,Harrison,3012,MRI spine shows L3-L4 discitis. Blood cultures grow viridans streptococci. Echo ,"A 77-year-old woman with diabetes and hypertension presents with 4 days of fever and back pain. She takes metformin, lisinopril, and atorvastatin. BP 96/58, T 38.9°C. Cardiac exam "
1,Infections,Smear/Histopath,Harrison,3024,Gram stain shows,"A 76-year-old woman with diabetes and hypertension presents with fever, headache, and confusion developing over 3 days. She recently ate unpasteurized cheese at a farmer's market. "
1,Infections,CXR,Harrison,3031,CXR shows,"An 80-year-old man with hypertension and COPD presents with 2 days of fever, confusion, and productive cough. CXR shows right lower lobe infiltrate. He's admitted for pneumonia and"
1,Infections,CT/MRI,Harrison,3033,CT head shows,"An 83-year-old woman with moderate dementia, living in assisted living, is brought to the ED with acute confusion and combativeness. Staff report she was her usual self this mornin"
1,Infections,CXR,Harrison,3082,CXR shows,"A 76-year-old woman with COPD, CKD stage 3a, and recent hip fracture is transferred from rehabilitation to the ED with fever and hypotension. BP 82/50, HR 110, RR 24, T 38.9°C. She"
1,Infections,CXR,Harrison,3085,CXR shows,An 85-year-old man is evaluated in the hospital for failure to improve after 5 days of antibiotics for healthcare-associated pneumonia. He was admitted from skilled nursing with fe
1,Infections,CXR,Harrison,3089,CXR shows,"An 86-year-old man with diabetes, CAD, and Stage 3b CKD (eGFR 32) presents to the ED with 3 days of productive cough and fever. CXR shows left lower lobe infiltrate. BP 108/65, HR "
1,Geriatric Emergency Medicine,CT/MRI,Hazzard,1841,CT head shows,A 78-year-old woman is brought to the ED by her son who reports she has been unable to manage her finances or medications for 2 weeks. She was independent in all IADLs one month ag
1,Geriatric Emergency Medicine,CXR,Hazzard,1842,CXR shows,"An 88-year-old nursing home resident with advanced dementia, CHF (EF 25%), and CKD stage 3 (eGFR 42) arrives at the ED with dyspnea. He has a POLST form indicating DNR/DNI but full"
1,Geriatric Emergency Medicine,ECG,Hazzard,1848,ECG shows,"A 77-year-old man with diabetes, CAD, and depression presents to the ED with dizziness and weakness. Medications include metformin, atorvastatin, metoprolol 100 mg BID, lisinopril,"
1,Geriatric Emergency Medicine,ECG,Hazzard,1854,ECG shows,An 81-year-old man presents to the ED with progressive dyspnea and leg edema over 2 weeks. He recently started seeing a new cardiologist who added spironolactone 25 mg daily to his
1,Geriatric Emergency Medicine,CT/MRI,Hazzard,2409,CT head shows,A 76-year-old man with mild cognitive impairment (MMSE 23) is brought to the ED 6 hours after falling down stairs at home. CT head shows a 3mm subdural hematoma without midline shi
1,Geriatric Emergency Medicine,CT/MRI,Hazzard,2411,"MRI shows cavum septum pellucidum, mild generalized atrophy. Which finding","A 79-year-old retired boxer with 'mild forgetfulness' is evaluated for personality changes. His wife reports increased irritability, poor judgment with finances, and getting lost d"
1,Geriatric Emergency Medicine,CT/MRI,Hazzard,2413,CT shows no acute finding,"A 77-year-old woman with moderate AD (MMSE 18) falls at her assisted living facility, striking her occiput on concrete. Initial GCS 15, no focal deficits. CT shows no acute finding"
1,Geriatric Emergency Medicine,CT/MRI,Hazzard,2415,"CT head negative. Labs: Na 128, glucose 92, Cr 1.4 (baseline 0.9). Which finding","A 78-year-old woman presents to ED after being found on floor by neighbor, last seen normal 12 hours prior. She's confused, repeatedly asking 'where's my mother?' (deceased 20 year"
1,Geriatric Emergency Medicine,EEG,Hazzard,2419,EEG shows left temporal sharp waves. MRI reveals,An 83-year-old man with CKD stage 3b (eGFR 42) and remote TBI (motorcycle accident age 25) presents with first-ever seizure. Wife reports increasing forgetfulness over 2 years. EEG
1,Geriatric Emergency Medicine,ECG,Harrison,3065,ECG shows,"An 84-year-old man with NYHA III heart failure (EF 30%), CKD stage 4 (eGFR 22), and moderate frailty (CFS 6) presents to the ED with confusion and hypotension. His daughter reports"
1,Geriatric Emergency Medicine,EEG,Harrison,3075,EEG shows,"An 86-year-old nursing home resident with advanced Parkinson's disease, dysphagia, and frequent falls is admitted with distributive shock from aspiration pneumonia. CrCl 42 mL/min."
1,Geriatric Emergency Medicine,ECG,Harrison,3078,EKG shows,"A 77-year-old woman with COPD, CKD stage 3a (eGFR 45), and depression on sertraline presents with distributive shock. Blood cultures grow E. coli sensitive to ciprofloxacin and cef"
1,COPD & Pulmonary,CXR,Hazzard,2634,CXR shows,A 78-year-old man with severe COPD (FEV1 35% predicted) presents to the ED with acute dyspnea and confusion. His daughter reports he has been increasingly forgetful over 2 days and
1,COPD & Pulmonary,CXR,Hazzard,2637,CXR shows,"An 84-year-old nursing home resident with severe COPD, moderate vascular dementia (MMSE 18), and CKD stage 4 (eGFR 22) is brought to the ED with acute dyspnea. He appears uncomfort"
1,COPD & Pulmonary,ECG,Hazzard,2644,ECG shows,"A 78-year-old woman with COPD (FEV1 42% predicted) and MCI presents after a fall with hip fracture. Post-operatively, she develops delirium and is treated with haloperidol. On hosp"
1,COPD & Pulmonary,CXR,Hazzard,2657,CXR shows,"An 82-year-old woman with COPD (FEV1 38%), depression, and recent hip fracture (3 weeks post-repair) is transferred from rehabilitation to ED with worsening dyspnea. She's been rec"
1,COPD & Pulmonary,ECG,Hazzard,2661,ECG shows,An 85-year-old man with severe COPD on 4L continuous oxygen presents with progressive dyspnea over 2 weeks despite optimal bronchodilators. He can no longer shower independently. H
1,COPD & Pulmonary,CXR,Harrison,2936,CXR shows,"A 75-year-old man with COPD, diabetes, and mild dementia presents from his assisted living facility with confusion and dyspnea. His aide reports he's been using his rescue inhaler "
1,COPD & Pulmonary,CXR,Harrison,2942,CXR shows,An 85-year-old man with severe COPD (on 2L home oxygen) and frailty (Clinical Frailty Scale 6) presents with 2 weeks of worsening dyspnea. He's had 3 admissions in 6 months. He can
1,COPD & Pulmonary,ECG,Harrison,2943,ECG shows,"A 78-year-old man with COPD, coronary disease (stent 2 years ago), and CKD stage 3 (eGFR 45) presents with dyspnea and chest pressure. ECG shows new T-wave inversions. Troponin is "
1,COPD & Pulmonary,CXR,Harrison,2945,CXR shows,"An 83-year-old nursing home resident with severe COPD, moderate Alzheimer's disease, and recurrent aspirations is brought in with fever and hypoxia. CXR shows RLL consolidation. He"
1,Chronic Kidney Disease,ECG,Hazzard,2671,ECG shows,An 80-year-old man with CKD stage 4 (eGFR 26 mL/min/1.73m²) presents with 3 days of weakness and nausea. He recently started spironolactone for heart failure. Labs: potassium 6.8 m
1,Chronic Kidney Disease,ECG,Harrison,2951,ECG shows,A 79-year-old man with CKD stage 4 (eGFR 18) presents with weakness and nausea. He recently started trimethoprim-sulfamethoxazole for prostatitis. Other medications: lisinopril 10m
1,Chronic Kidney Disease,CXR,Harrison,2962,CXR shows,"A 77-year-old woman with CKD stage 3b (CrCl 38 mL/min) and recurrent UTIs is prescribed nitrofurantoin 100mg BID for cystitis prophylaxis by her urologist. Two months later, she pr"
1,Chronic Kidney Disease,ECG,Harrison,2974,ECG shows,"A 79-year-old woman with diabetes, CAD, and CKD stage 4 (eGFR 26) presents with progressive weakness and nausea. Labs reveal: pH 7.30, HCO3- 15, K+ 5.7, BUN 68, Cr 3.8 (baseline 3."
1,Chronic Kidney Disease,CXR,Harrison,3098,CXR shows,"An 85-year-old woman with advanced COPD on 2L home oxygen, CKD stage 3b (eGFR 36), and frailty (meets 4/5 Fried criteria) presents with 3 days of worsening dyspnea and cough. She l"
1,Chronic Kidney Disease,Smear/Histopath,Harrison,3101,microscopy shows,"A 78-year-old man with CKD stage 3a (eGFR 45) is hospitalized with pneumonia. On day 2, the nurse reports decreased urine output. Morning labs: SCr 2.1 (admission 1.3, baseline 1.3"
1,Chronic Kidney Disease,ECG,Harrison,3105,ECG shows,A 79-year-old woman with hypertension and mild cognitive impairment is brought to the ED after being found on the floor at home. She last remembers eating breakfast yesterday. Init
1,Chronic Kidney Disease,CXR+US,Harrison,3106,CXR shows,"An 81-year-old man with COPD, CKD stage 3a, and depression is admitted with acute dyspnea. CXR shows pulmonary edema. He's never had heart problems. Echo reveals EF 25% with global"
1,Chronic Kidney Disease,ECG,Harrison,3111,ECG shows,A 77-year-old woman is brought to the ED by her son who reports she hasn't been herself for 2 days - sleeping more and confused about dates. She has CKD stage 4 (eGFR 24 mL/min/1.7
1,Anemia,Smear/Histopath,Hazzard,1559,Peripheral blood smear shows,"A 68-year-old man presents with progressive fatigue over 8 months. Laboratory evaluation reveals pancytopenia with hemoglobin 7.8 g/dL, white blood cell count 2.1×10³/μL, and plate"
1,Anemia,Smear/Histopath,Hazzard,2820,Bone marrow biopsy reveals,"A 77-year-old woman with CKD stage 3a (eGFR 48) presents with fatigue and recurrent infections. CBC shows Hb 9.8 g/dL, MCV 88 fL, normal WBC differential, platelets 95,000. Bone ma"
1,Anemia,CT/MRI,Hazzard,2826,MRI brain shows,A 76-year-old man with polycythemia vera on hydroxyurea presents for follow-up. He reports new difficulty remembering appointments and managing finances. Wife confirms progressive 
1,Anemia,Smear/Histopath,Hazzard,2827,Peripheral smear shows,"An 85-year-old woman with mild dementia and osteoporosis is admitted after a fall with hip fracture. Preoperative labs: Hb 9.2 g/dL, MCV 102 fL, platelets 580,000, WBC 13,000. Peri"
1,Anemia,CXR,Hazzard,2835,Chest X-ray shows,"A 76-year-old man with follicular lymphoma in remission, diabetes, and CKD stage 3b (eGFR 36) presents with 4 days of fever and productive cough. Chest X-ray shows right lower lobe"
1,Anemia,CXR,Hazzard,2839,CXR shows,A 75-year-old man with CML on dasatinib for 3 years presents with progressive dyspnea over 2 months. He also reports 15-pound weight loss and difficulty walking to his mailbox (pre
1,Anemia,CT/MRI,Harrison,2982,CT head shows,"A 77-year-old man with CAD, AFib on warfarin, and mild dementia is brought to the ED by his wife after she found him confused this morning. She reports he fell yesterday but seemed"
1,Anemia,CXR,Harrison,2985,CXR shows,"An 88-year-old man with severe COPD on home oxygen, CHF (EF 25%), and mild dementia is brought to the ED by his son with worsening dyspnea over 2 days. He's DNR but wants 'everythi"
1,Osteoarthritis,Smear/Histopath,Hazzard,2266,Gram stain shows,"A 83-year-old man presents 6 weeks after left knee corticosteroid injection with worsening pain and new knee swelling. Temperature 37.8°C. The knee is warm, erythematous with large"
1,Osteoarthritis,CT/MRI,Hazzard,2268,MRI brain shows,A 75-year-old woman is seen 4 months after bilateral knee replacements. She reports good pain relief but new difficulty remembering appointments and managing finances. Her daughter
1,Osteoarthritis,CXR,Harrison,3138,CXR shows,"An 84-year-old man with rheumatoid arthritis on methotrexate presents with 3 months of progressive weakness, 8 kg weight loss, and new-onset fever. He reports difficulty buttoning "
1,Osteoarthritis,Smear/Histopath,Harrison,3140,biopsy shows,"An 81-year-old nursing home resident with moderate dementia (unable to dress independently) presents with purpuric rash on legs, abdominal pain, and hematuria. She was treated for "
1,Osteoarthritis,Smear/Histopath,Harrison,3141,biopsy shows,"A 77-year-old man with CKD stage 4 (eGFR 22) presents with palpable purpura, arthralgias, and acute kidney injury (Cr increased from 2.8 to 4.2). He has chronic hepatitis C. Cryogl"
1,Osteoarthritis,CXR,Harrison,3142,CXR shows,"An 85-year-old woman is admitted with fever, confusion, and mononeuritis multiplex. She has lost 6kg and can no longer prepare meals independently (IADL decline). Labs: WBC 18k wit"
1,Osteoarthritis,Smear/Histopath,Harrison,3151,biopsy shows,"An 80-year-old man with CKD stage 4 (eGFR 24, Cr 2.9) and peripheral vascular disease presents with painful necrotic toes and livedo reticularis after cardiac catheterization 3 wee"
1,Biology of Aging,Derm,Hazzard,1653,vesicular rash,An 68-year-old man with a history of organ transplant (kidney) 5 years ago presents with a painful vesicular rash on the right side of his chest following a T4-T6 dermatomal distri
1,Biology of Aging,Derm,Hazzard,1659,vesicular rash,A 71-year-old man with multiple myeloma on maintenance lenalidomide therapy has never had chickenpox but was recently exposed to his grandson who developed varicella. He asks about
1,Biology of Aging,CT/MRI,Hazzard,1709,MRI brain shows,An 81-year-old woman is evaluated for progressive difficulty with IADLs over 6 months. Her daughter reports she stopped managing finances after multiple errors and needs help with 
1,Biology of Aging,CXR,Hazzard,1714,CXR shows,"A 73-year-old woman with diabetes and CKD stage 3a (eGFR 52) is admitted with COVID-19 pneumonia requiring 4L oxygen. CXR shows bilateral infiltrates. D-dimer elevated at 1,200. Sh"
1,Biology of Aging,CXR,Hazzard,1716,CXR shows,"A 78-year-old woman with COPD on home oxygen presents to ED with increased dyspnea and purulent sputum. Current medications include tiotropium, budesonide/formoterol, albuterol PRN"
1,Biology of Aging,CT/MRI,Hazzard,1787,MRI shows mild hippocampal atrophy. What finding,"A 75-year-old woman is brought to clinic by her daughter who is concerned about memory loss. The patient forgot to pay bills twice and got lost driving to church. MMSE 24/30, missi"
