priority,topic,modality,tag,idx,trigger,stem
1,Frailty & Sarcopenia,Smear/Histopath,Hazzard,1487,biopsy reveals,An 80-year-old woman with sarcopenia participates in a research study examining cellular changes in aging muscle. Muscle biopsy reveals reduced size and number of myofibers with de
1,Community & Long-Term Care,ECG,Hazzard,1817,ECG shows,"An 88-year-old man is admitted from home after being found on the floor by his neighbor. He lives alone, last seen normal 18 hours ago. He's confused, unable to provide history. T "
1,Community & Long-Term Care,CXR,Hazzard,1821,CXR shows,"An 85-year-old man with HFpEF, CAD, and diabetes presents to the ED with shortness of breath. BNP 890, Cr 1.9 (baseline 1.4). CXR shows pulmonary edema. Home medications include fu"
1,Community & Long-Term Care,CXR,Hazzard,1895,CXR shows,"An 83-year-old woman with severe COPD on 3L home O2, mild dementia, and failure to thrive is brought to the ED by her daughter for increased confusion and falls over 2 days. Vitals"
1,Stroke,EEG,Harrison,3154,EEG shows,"An 84-year-old woman is brought by family after 3 generalized seizures over 2 days. She has mild Alzheimer's (MMSE 22), HTN, and osteoporosis. Medications: donepezil 10mg, amlodipi"
1,Stroke,CT/MRI+EEG,Harrison,3156,CT head negative. EEG shows,"An 81-year-old woman presents after first-lifetime seizure. Witness describes 2-minute generalized tonic-clonic event with post-ictal confusion. PMH: HTN, hyperlipidemia, CKD stage"
1,Stroke,CT/MRI,Harrison,3168,CT shows no hemorrhage. CTA reveals,A 78-year-old man with mild cognitive impairment (MoCA 22) and CKD stage 3a (eGFR 45) presents to the ED 3 hours after sudden onset right hemiparesis and aphasia. NIHSS score is 12
1,Stroke,CT/MRI,Harrison,3169,"CT shows no hemorrhage, CTA shows right M1 occlusion, and CT perfusion shows",An 84-year-old woman is found down at home by her daughter after last being seen normal 18 hours ago. She has left hemiplegia and neglect. Past medical history includes AF on apixa
1,Dementia,ECG,2022,34,הולטר אק,"בן88 סובל מ-ALZHEIMER DISEASE. בשנה האחרונה המטופל התעלף פעמיים במהלך היום. בוצע הולטר אק\""ג שהדגים נטייה לברדיקרדיה בלילה. מכל התרופות האפשריות לטיפול בדמנציה איזו תרופה איננה מומ"
1,Dementia,ECG,2020,797,הולטר,"בן 82 ,פנה לרופא המשפחה עקב אירועים חוזרים של התעלפות. ברקע - סובל מיתר ל\""ד, השמנת יתר, סוכרת ודמנציה. תרופות קבועות: RAMIPRIL (TRITACE) LERCANIDIPINE ( VASODIP) MEMANTIN ( MEMOX)"
1,Dementia,CXR,Hazzard,2382,CXR shows,"A 81-year-old woman with moderate Alzheimer's dementia (FAST stage 6a) and advanced Parkinson's disease is admitted with aspiration pneumonia. She's bedbound, requires feeding assi"
1,Dementia,CT/MRI,Hazzard,2404,MRI brain shows bilateral frontal and anterior temporal atrophy. Family history ,"A 75-year-old woman is evaluated for cognitive decline and personality changes over 2 years. Her son reports she has become disinhibited, making inappropriate comments to strangers"
1,Nutrition & Malnutrition,CXR,Hazzard,2024,Chest X-ray shows,An 82-year-old man in skilled nursing for stroke rehabilitation develops acute confusion and agitation during dinner. Staff report he was pocketing food in his cheeks and suddenly 
1,Nutrition & Malnutrition,CXR,Hazzard,2028,CXR shows,A 73-year-old man with Parkinson's disease and diabetes presents to the ED with fever and cough. His wife reports increasing confusion over 3 days and difficulty swallowing medicat
1,Nutrition & Malnutrition,CXR,Hazzard,2041,CXR shows,An 86-year-old nursing home resident with severe Alzheimer's (FAST 7a) and dysphagia is brought to the ED with aspiration pneumonia. This is her third admission in 2 months. CXR sh
1,Perioperative Care,ECG,Hazzard,1981,ECG shows,"An 86-year-old man with severe aortic stenosis (valve area 0.7 cm²), CKD stage 3b (eGFR 36), and HFpEF undergoes TAVR. Post-procedure day 1: new confusion, not following commands. "
1,Perioperative Care,ECG,Hazzard,1988,ECG shows,"A 78-year-old woman undergoes robotic prostatectomy for adenocarcinoma. PMH: AFib (on rivaroxaban), diabetes, and hypertension. POD#2: develops acute SOB, SpO2 88% on 4L. BP 98/62,"
1,Perioperative Care,ECG+US,Hazzard,1996,ECG shows,"An 85-year-old man with severe AS (valve area 0.7 cm²), mild dementia, and CKD stage 3b undergoes TAVR under conscious sedation. Baseline Cr 1.9. Two hours post-procedure, he becom"
1,Perioperative Care,CXR,Hazzard,1998,CXR shows,"An 82-year-old man with HFpEF, CKD stage 4 (eGFR 18), and pre-frailty undergoes BiV-ICD placement. Post-op day 1, he's confused and oliguric. Labs: K 6.2, Cr 4.1, BUN 95. CXR shows"
1,Perioperative Care,CXR,Hazzard,2004,CXR shows,"An 80-year-old man with ischemic cardiomyopathy (EF 30%), diabetes, and sarcopenia (grip strength 18kg) undergoes CRT-D placement. BMI 19. Albumin 2.8. Post-procedure, he can't lif"
1,Geriatric Assessment (CGA),CXR,Hazzard,1737,CXR shows,"A 79-year-old man with COPD, CKD stage 3a (eGFR 45), and osteoarthritis is evaluated in the emergency department after his wife found him confused this morning. She reports he was "
1,Geriatric Assessment (CGA),CT/MRI,Hazzard,1762,MRI brain to rule out posterior fossa lesion,"An 80-year-old woman is evaluated for chronic dizziness and recurrent falls. She describes feeling 'off balance' constantly, worse with head movement. Medications: metformin 500mg "
1,Geriatric Assessment (CGA),CXR,Hazzard,1764,CXR shows,"An 84-year-old woman with moderate vascular dementia (MMSE 15/30) and CHF (EF 35%) is hospitalized with pneumonia. On day 2, she becomes agitated, pulling at lines and hitting staf"
1,Thyroid Disorders,ECG,Hazzard,2844,ECG shows,A 79-year-old man is brought to the emergency department after being found confused in his unheated apartment during a winter storm. His neighbor reports he has been increasingly i
1,Thyroid Disorders,ECG,Hazzard,2846,ECG shows,A 76-year-old man is admitted with severe hypothermia (core temperature 29°C) after being found unconscious outdoors. Past medical history includes schizophrenia treated with halop
1,Thyroid Disorders,ECG,Hazzard,2848,ECG shows,"A 77-year-old nursing home resident with moderate dementia is found minimally responsive during morning rounds. Core temperature is 31°C, BP 85/50, HR 45. Staff report she was last"
1,Thyroid Disorders,ECG,Hazzard,2849,ECG shows,An 85-year-old man with heart failure (EF 35%) and CKD stage 4 (eGFR 25) is brought by family with worsening confusion over 3 days. He was recently started on levothyroxine 50 mcg 
1,Urinary Incontinence,Smear/Histopath,Hazzard,1529,Biopsy reveals,An 82-year-old woman presents with vulvar burning and pruritus. Biopsy reveals HPV-independent VIN (differentiated VIN). She has a history of lichen sclerosus. Compared to HPV-asso
1,Urinary Incontinence,Smear/Histopath,Hazzard,2070,microscopy shows,"A 76-year-old woman is admitted from home after her daughter found her lying in urine-soaked sheets, confused and unable to stand. She has moderate vascular dementia and lives alon"
1,Urinary Incontinence,ECG,Hazzard,2085,ECG shows,A 77-year-old man is admitted for elective hip replacement. Preoperative assessment reveals previously undiagnosed erectile dysfunction for 18 months and exertional chest tightness
1,Urinary Incontinence,ECG,Hazzard,2213,EKG shows,"A 75-year-old woman with Type 2 diabetes, CKD stage 3b (eGFR 36), and overactive bladder is started on mirabegron after failing behavioral therapy. Two weeks later, she reports pal"
1,Falls & Balance,CT/MRI+ECG,Hazzard,2191,ECG shows,An 82-year-old man with mild Alzheimer's disease arrives at the ED via EMS after collapse at home. His daughter states he was reaching for something on a high shelf when he suddenl
1,Heart Failure,CXR+ECG,Hazzard,2577,ECG shows,"A 77-year-old man with HFpEF, paroxysmal AFib, and recent fall with hip fracture presents to ED with acute dyspnea. He's on diltiazem 180 mg daily, apixaban 5 mg BID, and hydrochlo"
1,Heart Failure,CXR,Hazzard,2582,CXR shows,"An 83-year-old nursing home resident with HFpEF (EF 62%), vascular dementia, and recurrent aspirations is brought to ED with fever and dyspnea. CXR shows right lower lobe infiltrat"
1,Palliative Care,ECG,Hazzard,2494,ECG shows,An 80-year-old woman with breast cancer metastatic to bone presents with severe dyspnea developing over 2 days. She completed radiation to spine last month. Medications include let
1,Palliative Care,CXR,Hazzard,2524,CXR shows,"An 86-year-old woman with advanced heart failure (EF 20%), CKD stage 4, and moderate dementia is brought to the ED with worsening dyspnea. Her daughter states, 'She has a DNR but w"
1,Polypharmacy & Beers,CXR,Hazzard,1939,CXR shows,"An 85-year-old nursing home resident with severe dementia is brought to the ED with fever and cough. CXR shows right lower lobe infiltrate. She doesn't recognize family, is bedboun"
1,Polypharmacy & Beers,ECG,Hazzard,2130,ECG shows,"An 82-year-old man with mild Alzheimer's disease, treated with donepezil 10 mg daily, is brought by his wife for increased confusion and two falls this week. She mentions he's been"
1,Advance Directives,CXR,Hazzard,1723,CXR shows,"An 88-year-old man with moderate dementia, CKD stage 4 (eGFR 22), and recurrent aspiration pneumonia is admitted to ICU with sepsis. His advance directive states 'full code.' His d"
1,Advance Directives,CXR,Hazzard,1731,CXR shows,A 79-year-old woman with moderate Alzheimer's and osteoporosis is admitted after witnessed aspiration during lunch at assisted living. CXR shows right lower lobe infiltrate. She ha
1,Constipation,ECG,Hazzard,2708,EKG shows,"A 77-year-old woman with diabetes, hypothyroidism, and recent L2 compression fracture presents to the ED with severe constipation and new urinary incontinence. She was discharged f"
1,Constipation,CT/MRI,Hazzard,2716,CT shows mass,"A 78-year-old woman with diabetes, CKD stage 4 (eGFR 25), and recent L2 compression fracture on oxycodone presents to the ED with severe abdominal pain and distension. She reports "
1,Delirium,ECG,Hazzard,2363,ECG shows,An 84-year-old woman with moderate vascular dementia (MoCA 16/30) is brought to the ED from assisted living for acute agitation. Staff report she's been increasingly confused for 3
1,Delirium,CXR,Harrison,2931,CXR shows,"An 88-year-old nursing home resident with severe dementia (nonverbal, bedbound) is sent to ED for fever and decreased responsiveness. She's grimacing with any movement, withdraws f"
1,Hypertension,ECG,2024-May,464,הולטר אק,"בת78. ברקע יתר לחץ דם, פרפור עליות, החלפת ברך לפני כ- 3 שנים. פנתה למוקד בשל נפילה עם חבלה בברך. ללא ממצא בבדיקתה הגופנית למעט חבלות יבשות, ללא שברים. בתשאול על מנגנון הנפילה מתארת"
1,Hypertension,CT/MRI,Hazzard,2622,Head CT shows,An 81-year-old woman is admitted with new-onset confusion and BP 198/92. Her daughter reports gradual cognitive decline over 6 months with recent worsening. The patient takes no me
1,Depression & Mood,CT/MRI,Hazzard,2426,CT head shows,A 76-year-old man is admitted after a fall at home. His wife reports he's been seeing 'little children' in their apartment for 2 weeks and staying awake at night talking to them. H
1,Diabetes Mellitus,CXR,Hazzard,2860,Chest X-ray shows,"A 79-year-old man with heart failure (EF 35%) and recent hip fracture is admitted with acute confusion 3 days post-surgery. He's been receiving morphine PCA. Labs: Na 124 mEq/L, se"
2,Cardiovascular Disease,US,Hazzard,2544,Echo shows,"An 84-year-old man with HTN, DM2, and CKD stage 3 (eGFR 42) presents with progressive exertional dyspnea over 3 months. He can no longer walk to his mailbox without stopping. BP 16"
2,Cardiovascular Disease,US,Hazzard,2551,Echo shows,"An 85-year-old woman with severe aortic stenosis (valve area 0.7 cm²), mild dementia, and frailty (Clinical Frailty Score 6) presents with syncope. Echo shows EF 60%, mean gradient"
2,Cardiovascular Disease,Other imaging,Hazzard,2562,angiography shows,"A 77-year-old woman with paroxysmal atrial fibrillation, heart failure (EF 42%), and CKD stage 3a (eGFR 52) is admitted with NSTEMI. Coronary angiography shows 80% LAD stenosis req"
2,Cardiovascular Disease,US,Hazzard,2565,Echo shows,"An 82-year-old man is admitted with acute decompensated heart failure. Past medical history includes CAD s/p CABG 8 years ago, diabetes, and CKD. On admission, he's euvolemic after"
2,Cardiovascular Disease,US,Hazzard,2567,echo shows,"An 80-year-old man with remote history of MI (12 years ago), chronic stable angina, and stage 3a CKD presents for medication review. He reports good functional status, walking 2 mi"
2,Cardiovascular Disease,Other imaging+US,Hazzard,2573,Echo shows,A 79-year-old woman with longstanding hypertension and hyperlipidemia is hospitalized with her first MI. Troponin peaked at 8.2 ng/mL. Coronary angiography shows 90% mid-LAD lesion
2,Cardiovascular Disease,US,Hazzard,2601,Echo shows,"A 75-year-old man is brought to the ED by EMS after witnessed cardiac arrest at his gym. Bystander CPR was started immediately, initial rhythm was VF, and ROSC achieved after 2 sho"
2,Cardiovascular Disease,US,Hazzard,2605,ultrasound shows,"A 78-year-old woman presents to ED with sudden severe abdominal pain radiating to her back. PMH: HTN, 50 pack-year smoking history (quit 5 years ago), osteoporosis. BP 88/54, HR 11"
2,Cardiovascular Disease,US,Hazzard,2617,echo shows,"An 81-year-old man with symptomatic 85% carotid stenosis, EF 30%, and NYHA Class III CHF is evaluated for intervention. Recent echo shows severe AS (valve area 0.8 cm²). CrCl 45 mL"
2,Cardiovascular Disease,Other imaging+US,Harrison,2916,echo shows,A 79-year-old woman with HTN and prediabetes presents to cardiology clinic for evaluation of exertional chest pressure. Stress echo shows reversible inferior wall ischemia. Angiogr
2,Cardiovascular Disease,US,Harrison,2917,Echo shows,"An 81-year-old nursing home resident with moderate vascular dementia and frequent falls is evaluated for new dyspnea. Echo shows severe AS (AVA 0.7cm², gradient 50mmHg) with preser"
2,Cardiovascular Disease,Other imaging,Harrison,3039,angiography shows,A 77-year-old man with diabetes and Stage 3a CKD (eGFR 52) presents with unstable angina. Coronary angiography shows 90% RCA stenosis. He's scheduled for PCI. Current medications i
2,Cardiovascular Disease,Other imaging,Harrison,3044,Angiography shows,"An 80-year-old man with CKD stage 3b (eGFR 36), orthostatic hypotension, and recent falls presents with unstable angina. Angiography shows 3-vessel disease. Cardiology recommends C"
2,Cardiovascular Disease,Other imaging,Harrison,3049,Angiography shows,"An 86-year-old woman with severe aortic stenosis, CHF (EF 30%), and moderate dementia presents with rest angina and troponin elevation. Angiography shows 90% LAD stenosis. She live"
2,Cardiovascular Disease,US,Harrison,3056,Echo shows,"A 78-year-old woman presents 2 hours after anterior STEMI treated with primary PCI. Post-procedure, she develops cardiogenic shock with BP 82/58, HR 102, cool extremities. Echo sho"
2,Cardiovascular Disease,US,Harrison,3061,Echo shows,"A 77-year-old woman is post-STEMI day 4, treated with PCI. She developed acute kidney injury (creatinine rose from 1.2 to 2.1 mg/dL) attributed to contrast nephropathy. She has new"
2,Cancer & Oncology,Other imaging,Hazzard,1633,PET scan shows,"A 72-year-old woman with stage I NSCLC (T1bN0M0) has multiple comorbidities including severe COPD (FEV1 30% predicted), coronary artery disease, and diabetes. She is not a surgical"
2,Cancer & Oncology,Other imaging,Hazzard,2729,Endoscopy shows,A 77-year-old woman with Stage IIIA non-small cell lung cancer completed concurrent chemoradiation 2 weeks ago. She presents with dysphagia and 5 kg weight loss. Endoscopy shows gr
2,Cancer & Oncology,Other imaging,Hazzard,2730,DXA,An 82-year-old man with metastatic pancreatic cancer has lost 15% body weight over 2 months. ECOG performance status 2. His oncologist recommends FOLFIRINOX chemotherapy. Screening
2,Cancer & Oncology,Other imaging,Hazzard,2736,Colonoscopy shows,"An 83-year-old man with metastatic bladder cancer on pembrolizumab develops severe diarrhea (8-10 stools/day) for 5 days. He appears volume depleted. Laboratory: K 3.1 mEq/L, Cr 2."
2,Cancer & Oncology,Other imaging,Hazzard,2749,DEXA shows,A 77-year-old woman with ER+/HER2- metastatic breast cancer on letrozole presents with worsening fatigue and bone pain. She fell twice last week. Medications include letrozole 2.5m
2,Cancer & Oncology,Other imaging,Hazzard,2755,PET shows,"A 78-year-old man 6 months post-radical prostatectomy for high-risk prostate cancer (Gleason 4+4) presents with PSA 0.8 and rising. He has mild cognitive impairment, lives alone, a"
2,Cancer & Oncology,Other imaging,Hazzard,2760,DEXA shows,"A 76-year-old man with high-risk localized prostate cancer completed EBRT with 2 years ADT, finishing 6 months ago. He presents with three falls in 2 months, 10-pound weight loss, "
2,Cancer & Oncology,Other imaging,Hazzard,2771,PET shows,"An 84-year-old man with COPD (FEV1 45% predicted) has a 2.8 cm peripheral lung nodule suspicious for cancer. PET shows SUVmax 8.2, no nodal uptake. He uses a walker, requires help "
2,Cancer & Oncology,Other imaging,Hazzard,2777,Colonoscopy shows,An 80-year-old man with stage IV NSCLC (PD-L1 85%) has been on pembrolizumab for 8 months with good response. He's admitted with new-onset watery diarrhea (8-10 episodes/day) for 5
2,Cancer & Oncology,Other imaging,Hazzard,2795,Colonoscopy reveals,"An 85-year-old man presents with bright red blood per rectum and hemoglobin of 7.2 g/dL (baseline 11). Colonoscopy reveals a fungating mass in the rectosigmoid junction, biopsied a"
2,Cancer & Oncology,Other imaging,Hazzard,2809,endoscopy reveals,An 83-year-old man presents with new-onset seborrheic dermatitis and rapid development of hundreds of seborrheic keratoses over 3 months (Leser-Trélat sign). He reports 20-pound we
2,Infections,US,Harrison,3007,Echocardiogram shows,"An 84-year-old man with CKD stage 4 (eGFR 22 mL/min/1.73m²) and bioprosthetic aortic valve replacement 14 months ago presents with 3 weeks of fatigue, weight loss, and night sweats"
2,Infections,Other imaging,Harrison,3018,Colonoscopy shows,"A 73-year-old man with bioprosthetic mitral valve develops S. gallolyticus endocarditis. Colonoscopy shows 3cm ascending colon mass, biopsy confirms adenocarcinoma. He's completing"
2,Geriatric Emergency Medicine,US,Harrison,3074,Echo shows,A 79-year-old man with mild dementia (MoCA 19) and CKD stage 3b (eGFR 38) is admitted with obstructive shock from massive PE. He's on heparin infusion with PTT 68. BP 92/58 on nore
2,COPD & Pulmonary,Waveform,Hazzard,2650,Spirometry shows,"A 79-year-old woman with COPD, diabetes, and mild cognitive impairment lives alone. During a routine visit, she mentions using her albuterol inhaler 'whenever I remember' and admit"
2,COPD & Pulmonary,Other imaging,Hazzard,2662,DEXA shows,"A 79-year-old woman with COPD, osteoporosis (recent vertebral fracture), and mild Alzheimer's disease is seen for follow-up. She's had 2 COPD exacerbations this year, each treated "
2,Chronic Kidney Disease,Other imaging,Hazzard,2676,Colonoscopy shows,A 77-year-old man with CKD stage 3B (eGFR 38 mL/min/1.73m²) presents with bright red blood per rectum. Colonoscopy shows severe diverticulosis with active bleeding requiring epinep
2,Chronic Kidney Disease,US,Harrison,3095,Echo shows,"A 79-year-old man with diabetes, CKD stage 3a (eGFR 48), and recent NSTEMI is seen in cardiology clinic. He reports new bilateral leg edema and 8-pound weight gain over 2 weeks. Cu"
2,Anemia,Other imaging,Hazzard,2818,Colonoscopy shows,"A 79-year-old woman with hypertension and osteoarthritis presents with fatigue and exertional dyspnea. She recently started meloxicam for knee pain. Labs: Hb 8.2 g/dL, MCV 78 fL, f"
2,Anemia,US,Harrison,2984,Echo shows,"A 76-year-old woman with HTN, hypothyroidism, and osteoporosis is admitted with new-onset AFib with RVR. Her CHA2DS2-VASc score is 4. She takes levothyroxine, alendronate, and hydr"
2,Osteoarthritis,Other imaging,Harrison,3143,Angiography shows,"A 76-year-old man with mild cognitive impairment presents with 2 months of fever, weight loss, and severe leg pain with walking that improves with rest. Physical exam reveals absen"
2,Biology of Aging,Other imaging,2025-Jun,1135,PET-CT,"בת 72, קושי בבליעה ולעיסה, הפסיקה לאכול בשר, דיפלופיה. מה השלב הבא בבירור?"
2,Frailty & Sarcopenia,Other imaging,2023-Jun,156,DXA,על מנת להגדיר סרקופניה דרוש שילוב של מספר קריטריונים. כל קריטריון נמדד בדרכים שונות. איזו מהבאות היא דרך נכונה למדידה של קריטריונים לסרקופניה?
2,Frailty & Sarcopenia,Other imaging,Hazzard,1482,DEXA,"A 78-year-old man comes to your office after screening positive on the SARC-F questionnaire during a routine visit. He scored 6 points, reporting difficulty with chair rising, stai"
2,Frailty & Sarcopenia,Other imaging,Hazzard,1483,DEXA,A 75-year-old woman with suspected sarcopenia undergoes handgrip strength testing in your clinic. Her results show grip strength below the reference values for her gender and popul
2,Frailty & Sarcopenia,Other imaging,Hazzard,1490,DEXA scan shows,A 77-year-old man undergoes comprehensive geriatric assessment in your clinic. He scores 3 points on the SARC-F questionnaire and has a handgrip strength of 28 kg (normal for his a
2,Frailty & Sarcopenia,Other imaging,Hazzard,2154,DEXA shows,"A 75-year-old woman with pre-diabetes and hypertension enrolls in a frailty prevention study. Baseline assessment: BMI 24, grip strength 19kg, gait speed 0.9 m/s, reports fatigue b"
2,Frailty & Sarcopenia,Other imaging,Hazzard,2244,DXA shows,"An 80-year-old man with osteosarcopenia (T-score -2.8, grip strength 20kg, SARC-F 5) starts a comprehensive exercise program. After 3 months, his grip strength improves to 25kg and"
2,Community & Long-Term Care,US,Hazzard,1862,Echo shows,"A 76-year-old man in skilled nursing for stroke rehabilitation is evaluated for new bilateral leg edema. He has right hemiparesis, diabetes, and CKD stage 3a. He's progressing well"
2,Community & Long-Term Care,Waveform,Hazzard,1875,Spirometry shows,"A 77-year-old woman with advanced COPD on 3L continuous oxygen is discharged home after hospitalization for pneumonia. Home health intake reveals: lives in 2-story home, bedroom up"
2,Community & Long-Term Care,US,Hazzard,1894,Echo shows,"A 76-year-old man with HFpEF, CKD stage 3a, and diabetes is seen in cardiology clinic. He reports inability to lie flat and waking gasping for air. Home BP readings average 165/95 "
2,Stroke,US,Harrison,3173,Echo shows,An 85-year-old woman is admitted with new-onset AF and embolic stroke. She lives independently but has noticed difficulty balancing her checkbook lately. Echo shows no valvular dis
2,Stroke,US,Harrison,3178,Echocardiogram shows,A 78-year-old man is evaluated 6 weeks after cerebellar stroke. He has residual gait ataxia and uses a cane. His wife reports new snoring and daytime somnolence. BMI is 31. Medicat
2,Dementia,Other imaging,2025-Jun,652,PET-CT,בת72 אושפזה לבירור ירידה במשקל. היא מדווחת על קושי בבליעה ובלעיסה ועקב זה הפסיקה לאכול בשר. בתשובה לשאלה מכוונה מדווחת על דיפלופיה. מה השלב הבא בבירור?
2,Nutrition & Malnutrition,US,Hazzard,2007,Echocardiogram shows,An 81-year-old man with COPD on home oxygen presents with 15-pound weight loss over 3 months. BMI 20.1 kg/m². He reports early satiety and dyspnea with eating. Current medications:
2,Nutrition & Malnutrition,Other imaging,Hazzard,2022,endoscopy shows,"An 88-year-old man is evaluated in clinic for a 6-month history of difficulty swallowing solid foods. He reports food 'sticking' behind his sternum, requiring water to wash it down"
2,Geriatric Assessment (CGA),Other imaging,Hazzard,1958,DEXA shows,"A 79-year-old woman with advanced COPD (on 3L oxygen), osteoporosis, and anxiety presents to pulmonary clinic. She's fallen twice this month and fears leaving home. Medications inc"
2,Osteoporosis,Other imaging,Hazzard,920,DEXA,A 76-year-old woman with T-score of -2.8 on DEXA scan and no prior fractures has FRAX calculated 10-year hip fracture risk of 2.8% and major osteoporotic fracture risk of 19%. Does
2,Osteoporosis,Other imaging,2021,990,DEXA,"בת 70 עם Multiple Myeloma, שבר T8 ונגעים ליטיים. מטופלת ב-DEXA+BORTEZOMIB. מה למניעת סיבוכים גרמיים?"
2,Osteoporosis,Other imaging,Hazzard,2285,DEXA,"A 79-year-old woman is seen in ED after mechanical fall at home. X-ray shows no fracture, but DEXA from last year showed T-score -2.8 at hip. She takes calcium carbonate 600 mg BID"
2,Osteoporosis,Other imaging,Hazzard,2287,DEXA shows,A 75-year-old woman is evaluated in geriatrics clinic for osteoporosis management 1 year after hip fracture. She completed 5 years of alendronate before her fracture. DEXA shows T-
2,Falls & Balance,Other imaging,Hazzard,2255,DEXA,"A 75-year-old woman with rheumatoid arthritis reports increasing falls over 3 months. She takes methotrexate 15 mg weekly, folic acid 1 mg daily, and prednisone 10 mg daily (on for"
2,Falls & Balance,Other imaging,2021-Jun,3264,מיפוי עצמות,"בת75 , .סובלת בחודשיים האחרונים מכאבי גב תחתון. ללא היסטוריה של חבלה או נפילה .ללא היסטוריה של כאבי גב קודם לכן. יש לציין כי לפני חודשיים החלה ללכת עם נעליים חדשות :בברור מיפוי עצמ"
2,Heart Failure,US,Hazzard,2585,Echocardiogram shows,"A 77-year-old woman with HFpEF (EF 58%), T2DM, HTN, and recent diagnosis of transthyretin cardiac amyloidosis (biopsy-proven) presents for follow-up. She has NYHA class II symptoms"
2,Palliative Care,Waveform,Hazzard,2491,Spirometry shows,"A 75-year-old woman with moderate COPD, depression, and chronic pain from spinal stenosis is seen for increasing dyspnea. She uses albuterol PRN, tiotropium daily, sertraline 100mg"
2,Polypharmacy & Beers,US,Hazzard,1921,echo shows,"An 82-year-old nursing home resident with advanced dementia, CHF, and CKD is sent to the ED for decreased oral intake and lethargy. Temp 37.8°C, BP 105/65, HR 88. Labs: Cr 3.2 (bas"
2,Pain Management,Other imaging,2021,1032,מיפוי עצמות,"בת 75, כאבי גב חודשיים, נעליים חדשות. מיפוי עצמות תקין. MRI: ניוון דיסקים, בלט L3-L4, אוסטאופיט L4. מה לא סביר?"
2,Pain Management,Other imaging,Hazzard,2470,DEXA shows,A 79-year-old woman is admitted with T12 compression fracture after lifting groceries. DEXA shows T-score -3.2. Pain is 9/10 despite oxycodone 5mg q6h and she cannot participate in
2,Rehabilitation,US,Hazzard,2308,Echo shows,A 77-year-old woman in cardiac rehabilitation following NSTEMI develops progressive fatigue and dyspnea with minimal exertion. She lives independently but stopped cooking and relie
